round,teams,date_time,result
'10','ABC x Novorizontino','2023-06-03T17:00','0 x 1'
'10','Vila Nova x Sampaio Corrêa','2023-06-03T19:00','3 x 0'
'10','Guarani x CRB','2023-06-04T15:30','0 x 1'
'10','Londrina x Sport','2023-06-04T18:00','1 x 2'
'9','Ituano x Londrina','2023-05-27T17:00','3 x 1'
'9','CRB x Juventude','2023-05-27T17:00','1 x 2'
'9','Avaí x Vitória','2023-05-27T17:30','1 x 1'
'9','Atlético-GO x Botafogo-SP','2023-05-27T18:00','1 x 1'
'9','Ponte Preta x Vila Nova','2023-05-28T11:00','1 x 0'
'9','Mirassol x Criciúma','2023-05-28T15:30','1 x 0'
'9','Ceará x Novorizontino','2023-05-28T15:30','0 x 3'
'9','Sport x ABC','2023-05-28T18:00','4 x 1'
'9','Tombense x Guarani','2023-05-28T18:15','1 x 1'
'9','Chapecoense x Sampaio Corrêa','2023-05-29T20:00','0 x 1'
'8','Botafogo-SP x Mirassol','2023-05-23T19:00','1 x 0'
'8','Novorizontino x Avaí','2023-05-23T21:30','2 x 0'
'8','ABC x Tombense','2023-05-23T21:30','1 x 0'
'8','Vila Nova x Ituano','2023-05-24T19:00','1 x 0'
'8','Vitória x CRB','2023-05-24T19:00','1 x 0'
'8','Juventude x Atlético-GO','2023-05-24T19:00','3 x 0'
'8','Londrina x Ceará','2023-05-24T19:00','1 x 3'
'8','Guarani x Chapecoense','2023-05-24T21:15','3 x 3'
'8','Criciúma x Sport','2023-05-24T21:30','1 x 0'
'8','Sampaio Corrêa x Ponte Preta','2023-05-24T21:30','0 x 0'
'7','Mirassol x Vitória','2023-05-19T19:00','2 x 0'
'7','Tombense x Londrina','2023-05-19T19:00','0 x 2'
'7','Atlético-GO x Avaí','2023-05-19T21:30','0 x 0'
'7','Sport x Botafogo-SP','2023-05-20T16:00','3 x 0'
'7','Ituano x Novorizontino','2023-05-20T17:00','0 x 2'
'7','Sampaio Corrêa x ABC','2023-05-20T17:00','1 x 0'
'7','Chapecoense x Juventude','2023-05-21T11:00','0 x 2'
'7','Criciúma x Ceará','2023-05-21T15:30','1 x 2'
'7','Ponte Preta x Guarani','2023-05-21T18:00','1 x 1'
'7','CRB x Vila Nova','2023-05-21T18:15','0 x 3'
'6','Vila Nova x Criciúma','2023-05-12T19:00','0 x 0'
'6','Avaí x Chapecoense','2023-05-12T21:30','1 x 4'
'6','Juventude x Mirassol','2023-05-13T16:00','0 x 1'
'6','Guarani x Sampaio Corrêa','2023-05-13T17:00','2 x 0'
'6','Novorizontino x CRB','2023-05-13T17:00','0 x 1'
'6','Ceará x Tombense','2023-05-13T18:15','2 x 0'
'6','Londrina x Ponte Preta','2023-05-14T15:30','3 x 0'
'6','Vitória x Atlético-GO','2023-05-14T18:00','2 x 3'
'6','ABC x Botafogo-SP','2023-05-14T18:00','1 x 2'
'6','Ituano x Sport','2023-05-14T20:30','1 x 1'
'5','Botafogo-SP x Vitória','2023-05-05T21:30','0 x 3'
'5','Criciúma x Ituano','2023-05-06T16:00','2 x 1'
'5','Mirassol x Vila Nova','2023-05-06T18:15','1 x 1'
'5','Sampaio Corrêa x Juventude','2023-05-06T18:15','2 x 1'
'5','Tombense x Avaí','2023-05-06T18:15','0 x 1'
'5','Chapecoense x Novorizontino','2023-05-06T20:30','1 x 1'
'5','CRB x ABC','2023-05-06T20:30','1 x 1'
'5','Ponte Preta x Ceará','2023-05-07T11:00','0 x 0'
'5','Sport x Guarani','2023-05-07T19:00','2 x 0'
'5','Atlético-GO x Londrina','2023-05-08T20:00','2 x 1'
'4','Londrina x Criciúma','2023-05-01T16:00','1 x 1'
'4','Ponte Preta x Botafogo-SP','2023-05-02T19:00','2 x 0'
'4','CRB x Sampaio Corrêa','2023-05-02T19:00','0 x 0'
'4','Atlético-GO x Chapecoense','2023-05-02T21:30','2 x 1'
'4','Ituano x ABC','2023-05-03T19:00','3 x 0'
'4','Mirassol x Novorizontino','2023-05-03T19:00','0 x 2'
'4','Juventude x Guarani','2023-05-03T19:00','1 x 0'
'4','Avaí x Vila Nova','2023-05-03T21:15','0 x 3'
'4','Ceará x Vitória','2023-05-10T19:00','0 x 2'
'4','Sport x Tombense','2023-05-10T21:30','3 x 2'
'3','Criciúma x Avaí','2023-04-28T19:00','1 x 0'
'3','Vitória x Londrina','2023-04-28T19:00','2 x 0'
'3','Guarani x Ituano','2023-04-28T21:30','1 x 0'
'3','Sampaio Corrêa x Mirassol','2023-04-29T16:00','1 x 3'
'3','Botafogo-SP x CRB','2023-04-29T17:00','2 x 0'
'3','Chapecoense x Ponte Preta','2023-04-29T17:00','1 x 1'
'3','Tombense x Atlético-GO','2023-04-29T18:15','1 x 1'
'3','Novorizontino x Sport','2023-04-30T15:30','0 x 0'
